year,month,day,hour,minute,second,event
1991,7,6,1,33,21,13232
1991,7,6,6,14,0,487
1991,7,6,9,34,54,6229
1991,7,6,17,0,7,49490
1991,7,6,23,29,41,1083
1991,7,7,1,23,28,52628
1991,7,7,2,18,20,33635
1991,7,7,3,51,46,994
1991,7,7,5,27,52,304
1991,7,7,7,2,48,812
1991,7,7,7,23,40,4110
1991,7,7,8,59,53,14129
1991,7,7,11,40,52,390
1991,7,7,21,21,5,458
1991,7,8,7,57,15,346
1991,7,8,9,24,44,754
1991,7,8,9,28,37,237
1991,7,9,1,35,20,281
1991,7,9,15,0,27,9311
1991,7,9,15,10,6,595
1991,7,10,3,42,7,716
1991,7,10,4,9,1,1654
1991,7,10,5,14,54,478
1991,7,10,6,40,35,7227
1991,7,10,8,32,16,1176
1991,7,10,19,16,14,7198
1991,7,10,22,30,33,718
1991,7,11,0,9,9,2042
1991,7,11,6,18,45,439
1991,7,11,8,52,28,312
1991,7,11,8,57,9,328
1991,7,11,9,36,34,22014
1991,7,11,10,20,28,2117
1991,7,11,12,12,32,600
1991,7,11,16,38,10,4818
1991,7,11,18,19,4,518
1991,7,11,21,40,21,440
1991,7,12,2,0,20,2531
1991,7,12,8,17,28,362
1991,7,12,15,17,50,846
1991,7,12,16,20,51,680
1991,7,12,17,31,52,28549
1991,7,13,3,4,50,718
1991,7,13,4,43,44,447
1991,7,13,11,16,37,2849
1991,7,13,11,24,42,3473
1991,7,13,18,37,57,42001
1991,7,13,20,10,23,623
1991,7,13,20,36,18,1441
1991,7,13,21,43,20,12586
1991,7,14,2,26,48,366
1991,7,14,3,44,17,1736
1991,7,14,6,59,17,784
1991,7,14,7,33,52,45264
1991,7,14,19,16,24,5416
1991,7,14,19,24,44,618
1991,7,14,19,33,26,3364
1991,7,14,20,51,8,1086
1991,7,15,2,24,19,805
1991,7,15,13,19,19,3296
1991,7,15,15,45,30,691
1991,7,15,20,35,52,453
1991,7,16,4,37,27,1490
1991,7,17,0,26,23,439
1991,7,17,0,28,45,344
1991,7,17,6,26,16,378515
1991,7,17,7,3,55,1706
1991,7,17,14,25,2,797
1991,7,17,21,3,21,778
1991,7,18,14,29,28,4214
1991,7,18,15,3,41,591
1991,7,18,21,17,23,368
1991,7,18,21,54,38,521
1991,7,18,23,3,49,388
1991,7,19,2,25,3,826
1991,7,19,6,52,47,3248
1991,7,19,7,1,7,392
1991,7,19,12,6,4,1365
1991,7,19,14,35,31,445
1991,7,19,22,36,10,363
1991,7,19,22,37,15,1670
1991,7,19,22,54,3,1149
1991,7,20,0,21,18,662
1991,7,20,1,33,7,397
1991,7,20,1,39,7,109225
1991,7,20,2,15,6,445
1991,7,20,3,16,53,1993
1991,7,20,8,21,46,3191
1991,7,20,18,51,14,1948
1991,7,21,0,4,30,427
1991,7,21,5,26,40,339
1991,7,21,5,29,9,522
1991,7,21,8,34,26,4250
1991,7,21,17,47,22,665
1991,7,21,17,54,41,241
1991,7,21,20,57,45,256
1991,7,22,1,35,33,4186
1991,7,22,2,15,3,271
1991,7,22,8,21,8,1629
1991,7,22,8,24,59,956
1991,7,22,8,36,57,307
1991,7,22,9,24,0,457
1991,7,22,9,29,9,784
1991,7,22,9,56,58,43566
1991,7,22,11,45,59,501
1991,7,22,22,10,38,597
1991,7,22,23,24,12,578
1991,7,23,3,12,6,356
1991,7,23,5,41,18,587
1991,7,23,5,43,36,660
1991,7,23,7,12,37,573
1991,7,23,7,15,3,791
1991,7,23,9,18,19,12030
1991,7,23,12,35,6,949
1991,7,23,12,36,51,629
1991,7,23,16,49,41,582
1991,7,23,20,12,42,512
1991,7,23,23,28,42,2752
1991,7,24,0,36,8,586
1991,7,24,0,51,15,374
1991,7,24,1,9,0,276
1991,7,24,3,52,18,252
1991,7,24,12,0,32,557
1991,7,24,14,30,39,310
1991,7,24,16,39,1,304
1991,7,24,17,25,42,14564
1991,7,24,19,5,20,3370
1991,7,24,20,39,10,2438
1991,7,24,21,14,42,403
1991,7,24,22,44,26,620
1991,7,24,23,4,37,52824
1991,7,25,0,13,42,294
1991,7,25,0,27,20,900
1991,7,25,4,57,36,3990
1991,7,25,6,4,12,953
1991,7,25,12,56,44,601
1991,7,25,14,32,3,331
1991,7,25,20,44,39,1913
1991,7,25,21,35,21,2818
1991,7,26,4,13,46,591
1991,7,26,5,59,53,7082
1991,7,26,7,23,17,341
1991,7,26,7,30,29,1589
1991,7,26,9,9,29,490
1991,7,26,17,53,11,3350
1991,7,26,20,10,49,15517
1991,7,26,22,34,28,800
1991,7,26,22,42,47,5513
1991,7,27,7,1,9,690
1991,7,27,12,56,14,691
1991,7,28,7,24,16,375
1991,7,28,7,33,31,383
1991,7,28,17,19,30,384
1991,7,28,18,32,57,1110
1991,7,28,19,41,52,3755
1991,7,28,21,35,51,292
1991,7,29,1,49,2,309
1991,7,29,3,59,19,773
1991,7,29,14,9,21,825
1991,7,29,17,24,8,7407
1991,7,29,19,42,57,451
1991,7,29,21,15,26,1807
1991,7,29,22,25,55,20370
1991,7,30,1,35,26,879
1991,7,30,2,43,17,1694
1991,7,30,3,13,26,551
1991,7,30,13,30,5,305
1991,7,30,15,41,18,1783
1991,7,30,15,44,36,2340
1991,7,31,0,48,31,1.00E+06
1991,7,31,3,35,20,562
1991,7,31,4,10,38,508
1991,7,31,8,57,56,1099
1991,7,31,10,7,35,1048
1991,7,31,10,14,43,3481
1991,7,31,20,38,2,1608
1991,7,31,22,49,14,5174
1991,7,31,23,43,2,376
1991,8,1,4,56,43,656
1991,8,1,6,31,8,1090
1991,8,1,6,35,59,576
1991,8,1,10,57,53,2678
1991,8,1,11,11,5,551
1991,8,1,15,16,24,67017
